id;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10;p11;p12;p13;p14;p15;p16;p17;p18;p19;p20;p21;p22;p23;w1;w2;w3;w4;w5;w6;w7;w8;w9;w10;w11;w12;w13;w14;w15;w16;w17;w18;w19;w20;w21;w22;w23;w24;w25;w26;w27;w28;w29;w30;państwo_oś;macierz_gospodarcze;macierz_społeczne;wykszt_ojca;wykszt_matki;rok_studiów;kierunek_studiów;praca;miejsc_pochodzenia;rok_urodzenia;płeć
g29;2;2;1;2;2;2;1;1;1;2;1;2;1;1;2;2;1;1;1;1;1;2;1;1;1;2;1;2;1;1;2;1;2;2;1;1;2;1;1;2;2;1;1;1;1;2;1;1;1;2;1;1;2;2;3;3;5;5;2;energ;2;2;94;2
g30;2;2;3;2;1;1;1;1;2;2;1;2;2;1;2;1;1;2;1;1;1;1;3;1;2;2;2;2;2;1;2;1;1;2;1;1;1;2;1;2;2;2;1;1;2;1;2;1;1;1;1;1;2;3;3;3;5;5;2;energ;1;2;94;2
g31;2;2;3;1;3;2;2;2;3;1;2;1;1;1;2;3;1;1;1;3;3;2;1;1;1;2;1;2;1;1;1;2;1;1;2;2;1;1;1;2;2;2;1;1;1;1;2;1;1;1;2;1;1;5;2;2;3;4;2;energ;2;2;94;2
g32;3;1;1;3;1;2;2;1;3;1;1;1;1;3;1;1;2;3;1;1;1;2;3;1;2;2;1;1;2;1;1;1;2;1;2;1;2;2;2;2;1;2;1;1;1;1;2;1;1;2;1;1;2;4;3;3;4;4;2;energ;2;3;94;1
g33;2;3;2;2;1;1;2;1;2;1;1;1;2;1;2;1;1;1;1;1;1;3;3;1;2;1;1;1;1;2;1;1;2;2;1;1;2;2;1;1;2;2;1;1;2;1;2;1;1;2;2;1;2;2;a;a;5;5;2;ener;b;2;94;1
g34;2;1;2;2;1;3;2;2;1;1;3;1;1;1;1;1;2;3;1;1;1;2;1;1;1;2;1;1;1;1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;2;2;1;1;1;1;2;2;1;4;b;b;b;2;energ;b;1;94;1
g35;2;1;2;2;3;2;2;1;2;1;1;1;3;1;2;1;1;1;3;1;2;3;2;1;2;1;1;2;2;1;1;1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2;6;3;2;5;5;2;energ;b;2;94;2
g36;1;1;1;2;1;2;2;2;1;2;3;2;3;3;2;1;2;3;1;1;1;2;3;1;2;1;1;1;2;2;2;1;1;2;1;1;2;b;b;b;b;b;b;b;2;1;a;a;a;2;1;1;2;9;2;2;2;4;2;energ;2;2;94;1
g37;2;2;2;2;1;1;2;1;1;1;2;1;1;1;2;1;2;2;3;1;1;3;1;1;2;1;1;1;2;2;2;1;1;2;1;2;2;1;2;2;1;1;2;1;1;1;2;2;1;1;1;1;2;5;2;3;5;4;2;energ;2;3;94;2
g38;2;2;2;1;2;1;2;2;2;1;1;1;1;1;2;1;1;1;1;1;1;2;1;1;1;2;1;1;2;2;1;1;2;1;1;2;1;1;1;2;1;1;2;1;1;1;2;1;1;2;1;2;1;4;3;2;3;4;2;energ;a;1;1;
g39;2;1;2;2;1;2;1;2;1;2;3;1;2;1;1;1;1;2;1;1;1;2;2;1;1;1;1;2;1;2;1;1;2;2;1;2;2;1;1;2;1;2;2;1;1;2;;;;;;;;3;3;4;5;5;2;energ;2;4;94;2
g40;1;2;1;2;1;2;1;2;1;2;1;3;2;1;3;2;1;2;1;1;1;2;2;1;2;2;1;1;2;1;2;1;1;;1;1;;2;2;2;;1;1;1;1;;;;1;;;1;;2;4;3;3;4;2;energ;1;;94;2
g41;2;2;2;2;3;1;2;2;2;1;2;1;1;1;2;3;3;1;2;1;1;3;1;1;1;2;1;1;1;2;2;1;1;2;1;1;2;1;1;2;2;1;2;1;2;2;1;1;1;2;1;1;2;6;apolityczny;apolityczny;5;5;2 energ;2;2;2;94;2
g42;2;2;1;1;2;2;1;2;1;1;1;1;1;1;1;2;1;1;2;1;1;1;1;1;2;1;2;1;2;2;1;1;2;2;1;1;2;1;1;2;2;2;2;1;2;1;1;2;1;1;1;1;2;4;4;brak;5;5;2;energetyka;1;2;94;1
g43;2;2;2;2;1;2;1;2;2;2;1;1;2;1;2;2;1;1;1;1;1;1;1;1;;1;2;2;2;2;2;1;2;1;1;1;2;2;1;1;2;1;2;1;2;2;1;2;2;2;1;1;1;1;3;3;6;6;2;energetyka;1;3;94;2
g44;2;2;2;2;2;1;2;2;1;2;2;1;1;1;2;1;1;1;1;1;1;2;1;1;2;2;1;1;2;2;2;1;1;2;1;2;2;2;1;2;1;1;1;1;2;2;1;1;1;2;1;1;2;3;3;3;5;5;2;energetyka;1;4;94;2
g45;2;3;2;2;1;3;2;1;2;3;2;1;2;1;2;1;2;3;1;1;1;2;1;1;1;;;;;;2;1;2;;1;2;;2;1;2;1;1;1;1;2;;1;1;1;;1;1;2;6;3;3;5;3;2;energetyka;1;1;94;2
