id;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10;p11;p12;p13;p14;p15;p16;p17;p18;p19;p20;p21;p22;p23;w1;w2;w3;w4;w5;w6;w7;w8;w9;w10;w11;w12;w13;w14;w15;w16;w17;w18;w19;w20;w21;w22;w23;w24;w25;w26;w27;w28;w29;w30;państwo_oś;macierz_gospodarcze;macierz_społeczne;wykszt_ojca;wykszt_matki;rok_studiów;kierunek_studiów;praca;miejsc_pochodzenia;rok_urodzenia;płeć
33;2;2;2;1;1;1;2;2;2;2;1;1;1;2;1;2;2;2;2;2;2;1;2;1;2;1;2;1;1;2;2;1;2;1;1;1;2;2;1;2;1;1;2;1;1;2;1;1;1;2;2;1;2;2;3;3;3;3;3;G. NAR;2;1;1993;2
34;2;2;1;2;2;1;2;1;3;1;1;2;1;1;1;2;2;1;2;2;2;1;1;1;1;1;2;2;2;1;2;1;2;1;1;1;1;2;1;2;1;1;2;1;1;2;1;1;1;2;1;1;2;4;3;3;4;5;3;EKO;3;5;1991;2
35;2;2;3;2;1;1;1;2;1;3;1;1;1;2;1;2;2;1;2;1;1;1;2;1;2;1;2;2;2;1;2;1;2;1;1;1;1;2;1;2;1;1;1;1;1;2;1;1;2;2;1;2;2;3;4;3;5;5;2;G. NAR;1;3;1993;1
36;2;2;3;1;2;1;2;2;2;1;2;1;1;2;1;2;2;2;2;2;2;1;1;1;2;1;2;1;2;2;2;2;2;1;1;1;1;2;1;2;1;2;1;1;1;2;1;1;1;2;2;1;2;3;3;3;5;6;3;EKO;3;5;1993;2
37;1;2;1;2;1;2;1;1;2;2;1;2;2;1;1;2;3;2;3;2;2;1;2;1;2;2;2;1;1;2;2;1;2;1;1;1;1;2;1;1;1;2;1;1;1;2;2;2;1;2;2;1;2;6;2;2;4;4;2; INF;2;1;1993;1
38;3;2;2;2;2;2;1;3;3;1;2;1;2;2;1;2;1;1;3;1;1;2;1;1;1;1;2;1;2;2;1;2;2;2;2;1;1;2;1;2;1;2;1;1;2;2;1;1;1;2;2;1;2;2;4;4;6;5;1;KSIĘG.;1;5;1995;1
39;1;2;1;2;2;1;2;2;1;2;1;1;2;1;2;2;2;2;2;3;3;2;2;1;2;1;1;2;2;1;1;1;2;2;1;2;1;2;1;1;1;2;1;1;1;2;1;2;1;1;1;2;2;6;2;2;3;4;1;KSIĘG.;;4;1994;1
40;1;3;3;3;2;2;2;2;3;3;3;1;1;1;2;1;2;2;2;3;2;1;1;2;1;1;2;1;2;2;1;2;1;2;2;2;1;1;2;2;1;1;1;2;1;2;1;1;1;2;1;1;1;1;3;3;4;5;1;FIN;1;5;1995;2
41;2;1;1;2;1;1;2;2;1;2;2;1;1;2;1;2;1;1;2;2;2;1;2;1;2;1;2;1;2;2;1;1;2;1;1;1;;2;1;2;1;1;2;1;1;2;1;1;1;2;2;1;2;3;4;4;5;5;2;EKO;3;3;1994;2
42;1;3;3;2;3;1;1;3;3;1;1;2;3;3;1;2;3;3;1;1;3;1;2;1;1;;2;1;1;2;1;1;2;1;2;1;1;1;1;2;1;2;1;1;2;2;1;1;2;2;1;1;2;5;4;2;2;4;2;INF;3;2;1994;1
43;1;1;1;2;1;1;1;1;2;2;1;2;2;2;2;1;2;2;2;2;2;1;2;2;1;2;2;2;1;1;1;1;2;2;1;1;2;2;2;1;1;2;2;1;1;2;1;1;1;2;2;1;1;;4;2;3;3;3;administracja publiczna i regionalny rozwój;3;3;1992;1
44;2;2;3;2;2;1;2;2;2;1;2;2;1;2;1;2;2;1;2;2;2;1;3;1;2;;2;;2;2;2;1;2;1;1;1;;2;1;1;1;1;2;1;1;2;1;1;1;1;1;1;2;4;4;3;3;4;3;G. NAR;2;4;1992;1
45;2;2;1;1;1;1;1;1;1;1;2;2;1;2;2;2;3;2;1;1;1;3;1;;;;2;;2;1;1;;;1;;;;2;1;2;1;1;2;2;1;2;1;;1;;2;1;2;5;3;2;4;4;2;G. NAR;2;3;1994;1
46;2;2;1;1;1;1;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2;1;2;2;2;1;2;1;2;1;2;2;1;1;1;1;1;2;1;2;1;1;1;1;1;2;1;1;1;2;1;1;2;1;4;3;4;3;2;G. NAR;2;2;1994;2
47;1;1;1;1;3;3;3;3;2;3;3;1;1;1;3;2;1;3;1;3;1;1;3;1;1;2;1;2;1;1;2;1;2;2;1;1;2;2;2;1;2;2;2;1;2;1;1;1;1;1;2;1;1;7;1;2;5;5;2;BANK;2;5;1994;2
48;1;2;2;1;1;1;2;2;2;1;2;1;1;2;1;2;2;1;2;2;2;1;1;1;2;2;2;2;2;1;2;1;1;1;1;2;2;1;1;2;1;1;2;1;1;2;1;1;1;2;1;2;2;3;3;3;5;4;4;EKO;3;5;1991;1
49;2;2;1;1;1;2;1;1;1;2;1;2;2;2;2;2;2;2;1;1;2;1;2;1;2;1;2;2;1;2;1;2;2;1;1;2;2;1;2;2;1;1;1;1;1;2;1;1;2;2;1;1;2;4;3;3;4;4;2;G. NAR;3;5;1991;2
50;2;2;1;1;1;1;1;1;2;1;2;2;2;2;1;2;2;1;2;2;2;1;1;2;2;2;2;2;1;2;2;1;2;1;1;1;2;2;1;2;1;1;2;1;1;2;1;1;1;2;1;1;2;2;3;3;3;5;2;G. NAR;2;5;1994;1
51;2;2;2;2;1;1;1;1;1;1;2;2;1;2;1;2;2;1;2;2;2;2;1;2;2;2;2;2;1;2;2;1;2;1;1;1;2;2;1;2;1;1;2;1;1;2;1;1;1;2;1;1;2;2;3;3;5;5;2;G. NAR;3;4;1994;2
52;1;3;3;1;2;2;2;1;3;3;1;3;3;3;3;1;2;1;1;3;3;1;3;1;2;1;1;1;2;1;2;1;1;2;1;2;1;2;1;1;2;1;1;1;2;2;1;1;2;1;2;2;2;5;2;2;5;3;1;FIN;;5;1995;2
53;2;2;2;2;1;1;1;1;2;1;2;2;1;2;1;2;2;1;2;2;2;1;2;2;2;2;2;2;1;2;2;1;2;1;1;1;2;2;1;2;1;1;2;1;1;2;1;1;1;2;1;1;2;3;3;3;4;4;2;G. NAR;3;5;1993;1
54;1;2;1;1;2;1;2;1;1;1;2;3;1;2;1;2;2;1;2;2;2;1;1;2;1;2;2;1;1;1;1;1;2;1;1;1;;2;1;2;1;2;1;1;1;2;1;1;1;1;1;1;2;3;3;4;4;5;3;EKO;2;5;1992;2
55;1;3;3;2;3;2;2;1;3;3;3;3;1;2;3;3;3;1;2;1;1;2;3;1;1;2;2;1;2;1;2;1;1;2;2;1;1;1;1;2;1;1;2;1;2;2;1;1;2;1;1;1;1;3;2;2;5;3;1;PODATKI;;;1993;1
56;2;2;3;2;2;1;1;1;1;1;1;2;3;3;1;2;2;1;2;1;2;1;1;1;1;2;1;1;2;2;1;1;2;1;2;2;2;1;1;2;2;2;2;1;1;2;1;2;1;2;1;1;1;3;3;3;5;5;3;G. NAR;2;4;1992;2
57;2;2;2;1;1;1;1;2;2;1;2;1;1;2;1;1;2;1;2;2;2;1;1;1;2;1;2;1;2;2;2;1;2;1;1;1;2;2;1;2;1;1;1;1;1;2;1;1;1;2;1;1;2;3;3;3;4;4;3;G. NAR;3;2;1993;2
58;1;2;3;1;2;1;2;2;1;1;2;2;1;2;1;2;2;1;2;2;2;1;1;2;2;1;2;1;1;2;2;1;2;1;1;1;1;2;1;2;2;1;1;1;1;2;1;1;1;2;1;1;2;3;3;3;4;2;3;G. NAR;2;5;1992;2
